work,tlg,book,n,text,text_clean,source
Europa,tlg002,1,46,"φοιταλέη δὲ πόδεσσιν ἐφ’ ἁλμυρὰ βαῖνε κέλευθα,","φοιταλέη δὲ πόδεσσιν ἐφ’ ἁλμυρὰ βαῖνε κέλευθα,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,47,νηχομένῃ ἰκέλη· κυανῆ δ’ ἐτέτυκτο θάλασσα.,νηχομένῃ ἰκέλη· κυανῆ δ’ ἐτέτυκτο θάλασσα.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,48,δοιοὶ δ’ ἕστασαν ὑψοῦ ἐπ’ ὀφρύος αἰγιαλοῖο,δοιοὶ δ’ ἕστασαν ὑψοῦ ἐπ’ ὀφρύος αἰγιαλοῖο,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,49,"φῶτες ἀολλήδην, θηεῦντο δὲ ποντοπόρον βοῦν.","φῶτες ἀολλήδην, θηεῦντο δὲ ποντοπόρον βοῦν.",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,50,ἐν δ’ ἦν Ζεὺς Κρονίδης ἐπαφώμενος ἠρέμα χερσὶ,ἐν δ’ ἦν Ζεὺς Κρονίδης ἐπαφώμενος ἠρέμα χερσὶ,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,51,"πόρτιος Ἰναχίης, τὴν δ’ ἑπταπόρῳ παρὰ Νείλῳ","πόρτιος Ἰναχίης, τὴν δ’ ἑπταπόρῳ παρὰ Νείλῳ",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,52,ἐκ βοὸς εὐκεράοιο πάλιν μετάμειβε γυναῖκα.,ἐκ βοὸς εὐκεράοιο πάλιν μετάμειβε γυναῖκα.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,53,"ἀργύρεος μὲν ἔην Νείλου ῥόος, ἡ δ’ ἄρα πόρτις","ἀργύρεος μὲν ἔην Νείλου ῥόος, ἡ δ’ ἄρα πόρτις",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,54,"χαλκείη, χρυσοῦ δὲ τετυγμένος αὐτὸς ἔην Ζεύς.","χαλκείη, χρυσοῦ δὲ τετυγμένος αὐτὸς ἔην Ζεύς.",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,55,ἀμφὶ δὲ δινήεντος ὑπὸ στεφάνην ταλάροιο,ἀμφὶ δὲ δινήεντος ὑπὸ στεφάνην ταλάροιο,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,56,Ἑρμείης ἤσκητο· πέλας δέ οἱ ἐκτετάνυστο,Ἑρμείης ἤσκητο· πέλας δέ οἱ ἐκτετάνυστο,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,57,Ἄργος ἀκοιμήτοισι κεκασμένος ὀφθαλμοῖσι.,Ἄργος ἀκοιμήτοισι κεκασμένος ὀφθαλμοῖσι.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,58,τοῖο δὲ φοινήεντος ἀφ’ αἵματος ἐξανέτελλεν,τοῖο δὲ φοινήεντος ἀφ’ αἵματος ἐξανέτελλεν,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,59,"ὄρνις ἀγαλλόμενος πτερύγων πολυανθέϊ χροιῇ,","ὄρνις ἀγαλλόμενος πτερύγων πολυανθέϊ χροιῇ,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,60,ταρσὸν ἀναπλώσας ὡσείτε τις ὠκύαλος νηῦς·,ταρσὸν ἀναπλώσας ὡσείτε τις ὠκύαλος νηῦς·,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,61,χρυσείου ταλάροιο περίσκεπε χείλεα ταρσός.,χρυσείου ταλάροιο περίσκεπε χείλεα ταρσός.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,62,τοῖος ἔην τάλαρος περικαλλέος Εὐρωπείης.,τοῖος ἔην τάλαρος περικαλλέος Εὐρωπείης.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,63,"αἳ δ’ ἐπεὶ οὖν λειμῶνας ἐς ἀνθεμόεντας ἵκανον,","αἳ δ’ ἐπεὶ οὖν λειμῶνας ἐς ἀνθεμόεντας ἵκανον,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,64,ἄλλη ἐπ’ ἀλλοίοισι τότ’ ἄνθεσι θυμὸν ἔτερπον.,ἄλλη ἐπ’ ἀλλοίοισι τότ’ ἄνθεσι θυμὸν ἔτερπον.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,65,"τῶν ἣ μὲν νάρκισσον ἐΰπνοον, ἣ δ’ ὑάκινθον,","τῶν ἣ μὲν νάρκισσον ἐΰπνοον, ἣ δ’ ὑάκινθον,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,66,"ἣ δ’ ἴον, ἣ δ’ ἕρπυλλον ἀπαίνυτο· πολλὰ δ’ ἔραζε","ἣ δ’ ἴον, ἣ δ’ ἕρπυλλον ἀπαίνυτο· πολλὰ δ’ ἔραζε",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,67,λειμώνων ἐαροτρεφέων θαλέθεσκε πέτηλα.,λειμώνων ἐαροτρεφέων θαλέθεσκε πέτηλα.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,68,αἳ δ’ αὖτε ξανθοῖο κρόκου θυόεσσαν ἔθειραν,αἳ δ’ αὖτε ξανθοῖο κρόκου θυόεσσαν ἔθειραν,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,69,"δρέπτον ἐριδμαίνουσαι, ἀτὰρ μεσσίστη ἄνασσα","δρέπτον ἐριδμαίνουσαι, ἀτὰρ μεσσίστη ἄνασσα",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,70,"ἀγλαΐην πυρσοῖο ῥόδου χείρεσσι λέγουσα,","ἀγλαΐην πυρσοῖο ῥόδου χείρεσσι λέγουσα,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,71,οἷά περ ἐν Χαρίτεσσι διέπρεπεν Ἀφρογένεια.,οἷά περ ἐν Χαρίτεσσι διέπρεπεν Ἀφρογένεια.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,72,"οὐ μὴν δηρὸν ἔμελλεν ἐπ’ ἄνθεσι θυμὸν ἰαίνειν,","οὐ μὴν δηρὸν ἔμελλεν ἐπ’ ἄνθεσι θυμὸν ἰαίνειν,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,73,οὐδ’ ἄρα παρθενίην μίτρην ἄχραντον ἔρυσθαι.,οὐδ’ ἄρα παρθενίην μίτρην ἄχραντον ἔρυσθαι.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,74,"ἦ γὰρ δὴ Κρονίδης ὥς μιν φράσαθ̓, ὡς ἐόλητο","ἦ γὰρ δὴ Κρονίδης ὥς μιν φράσαθ̓, ὡς ἐόλητο",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,75,θυμὸν ἀνωίστοισιν ὑποδμηθεὶς βελέεσσι,θυμὸν ἀνωίστοισιν ὑποδμηθεὶς βελέεσσι,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,76,"Κύπριδος, ἣ μούνη δύναται καὶ Ζῆνα δαμάσσαι.","Κύπριδος, ἣ μούνη δύναται καὶ Ζῆνα δαμάσσαι.",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,77,δὴ γὰρ ἀλευόμενός τε χόλον ζηλήμονος Ἥρης,δὴ γὰρ ἀλευόμενός τε χόλον ζηλήμονος Ἥρης,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,78,παρθενικῆς τ’ ἐθέλων ἀταλὸν νόον ἐξαπατῆσαι,παρθενικῆς τ’ ἐθέλων ἀταλὸν νόον ἐξαπατῆσαι,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,79,"κρύψε θεὸν καὶ τρέψε δέμας καὶ γείνετο ταῦρος,","κρύψε θεὸν καὶ τρέψε δέμας καὶ γείνετο ταῦρος,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,80,"οὐχ οἷος σταθμοῖς ἐνιφέρβεται, οὐδὲ μὲν οἷος","οὐχ οἷος σταθμοῖς ἐνιφέρβεται, οὐδὲ μὲν οἷος",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,81,"ὦλκα διατμήγει σύρων εὐκαμπὲς ἄροτρον,","ὦλκα διατμήγει σύρων εὐκαμπὲς ἄροτρον,",tlg0035.tlg002.perseus-grc2.xml
