word,nucleus,length
θεσπεσίῃς,2,S
θεόσδοτα,3,S
θεόφιν,2,S
θεὰν,1,L
θεᾶν,1,L
θεῇσι,2,S
θεῇσιν,2,S
θηλείας,2,S
θηλυτεράων,1,S
θηλυτεράων,3,L
θηρσὶ,1,S
θορόντα,2,S
θρασείας,0,S
θρασείας,2,L
θρασυκάρδιον,0,S
θρασυκάρδιον,1,S
θρασυκάρδιον,3,S
θρεπτήρια,2,S
θρεπτήρια,3,S
θρηικίου,1,S
θρηικίου,2,S
θρῆνυς,1,S
θρῴσκωσιν,2,S
θυέστ̓,0,S
θυίουσιν,2,S
θυγατέρεσσιν,4,S
θυγατέρων,0,S
θυγατέρων,1,S
θυγατέῤ,0,S
θυγατέῤ,1,S
θυγατρί,1,S
θυγατρί,2,S
θυγατρὶ,0,S
θυγατρὶ,1,S
θυγατρὶ,2,S
θυγατρῶν,1,S
θυηέντων,0,S
θυμήνασαι,2,L
θυμαλγέ̓,0,L
θυμολέοντα,4,S
θυμοφθόρον,0,L
θυσσανόεσσαν,4,S
θωρήχθησαν,3,S
θωρηκτῇσιν,3,S
θόαντα,2,S
θύγατρα,1,S
θύγατρας,1,S
θύγατρας,2,S
θύγατρες,1,S
θύγατῤ,0,S
θύγατῤ,1,S
θύελλα,2,S
θύελλαν,2,S
θύεσσί,0,S
θύεσσί,2,S
θύνοντ̓,0,L
θύρετρα,2,S
θύρηφιν,0,S
θύρῃσι,2,S
θώρηκας,2,S
θῆτά,1,S
θῖν̓,0,L
κάββαλ̓,0,S
κάββαλ̓,1,S
κάββαλε,0,S
κάββαλεν,0,S
κάθιζ̓,0,S
κάθιζ̓,1,S
κάθιζον,1,S
κάθισαν,2,S
κάκ̓,0,S
κάκιστος,1,S
κάκκιον,1,S
κάκτανε,0,S
κάλ̓,0,L
κάλεσσα,2,S
κάλεσσαν,2,S
κάλεσσας,2,S
κάλλιον,0,L
κάλλιπεν,0,S
κάλλιπες,0,S
κάλλιπον,0,S
κάλλισται,0,L
κάλλισται,1,S
κάλλιστον,0,L
κάλλιστον,1,S
κάλλιστος,0,L
κάλλιστος,1,S
κάλλιφ̓,0,S
κάλλιφ̓,1,S
κάλυψαν,2,S
κάλχαν,1,L
κάλχαντα,1,L
κάλχαντα,2,S
κάλχαντι,1,L
κάμνε,0,S
κάμνει,0,S
κάπνισσάν,2,S
κάπροισιν,2,S
κάπῃσιν,2,S
κάρ,0,S
κάρητι,2,S
κάτεισι,2,S
κάτθαν̓,0,L
κάτθαν̓,1,S
κάτθανε,0,L
κάτθεσαν,0,S
κέατ̓,1,S
κέγχροισι,2,S
κέλαδοί,1,S
κέλευθα,2,S
κέλευσαν,2,S
κέρασιν,2,S
κέρδεϊ,2,S
κέρδιστος,1,S
κέρτομα,2,S
κέχυθ̓,1,S
κέχυνται,1,S
κέχυτ̓,1,S
κήαντο,1,S
κήρυκ̓,1,L
κήυκα,1,L
κήυκα,2,S
κί̓,0,S
κίβισις,2,S
κίθαριν,2,S
κίθαρις,2,S
κίλλάν,1,S
