work,tlg,book,n,text,text_clean,source
The Rape of Helen,tlg001,1,90,φασὶ δὲ κοιρανίην μεθέπειν καὶ σκῆπτρα φυλάσσειν·,φασὶ δὲ κοιρανίην μεθέπειν καὶ σκῆπτρα φυλάσσειν·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,91,καὶ πολέμων βασίλειαν ἀεὶ καλέουσιν Ἀθήνην·,καὶ πολέμων βασίλειαν ἀεὶ καλέουσιν Ἀθήνην·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,92,μούνη Κύπρις ἄναλκις ἔην θεός. οὐ βασιλήων,μούνη Κύπρις ἄναλκις ἔην θεός. οὐ βασιλήων,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,93,"κοιρανίην, οὐκ ἔγχος ἀρήιον, οὐ βέλος ἕλκω.","κοιρανίην, οὐκ ἔγχος ἀρήιον, οὐ βέλος ἕλκω.",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,94,ἀλλὰ τί δειμαίνω περιώσιον ἀντὶ μὲν αἰχμῆς,ἀλλὰ τί δειμαίνω περιώσιον ἀντὶ μὲν αἰχμῆς,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,95,ὡς θοὸν ἔγχος ἔχουσα μελίφρονα δεσμὸν ἐρώτων;,ὡς θοὸν ἔγχος ἔχουσα μελίφρονα δεσμὸν ἐρώτων;,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,96,"κεστὸν ἔχω καἰ κέντρον ἄγω καὶ τόξον ἀείρω,","κεστὸν ἔχω καἰ κέντρον ἄγω καὶ τόξον ἀείρω,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,97,"κεστόν, ὅθεν φιλότητος ἐμῆς ἐμὸν οἶστρον ἑλοῦσαι","κεστόν, ὅθεν φιλότητος ἐμῆς ἐμὸν οἶστρον ἑλοῦσαι",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,98,πολλάκις ὠδίνουσι καὶ οὐ θνῄσκουσι γυναῖκες.,πολλάκις ὠδίνουσι καὶ οὐ θνῄσκουσι γυναῖκες.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,99,τοῖον ἐφεσπομένη ῥοδοδάκτυλος ἔννεπε Κύπρις.,τοῖον ἐφεσπομένη ῥοδοδάκτυλος ἔννεπε Κύπρις.,tlg4081.tlg001.perseus-grc2.xml
